month,day,rain,high,cold,forecast,low_temp_low,low_temp_high,high_temp_low,high_temp_high
1,9,35%,40°F,20°F,Low risk of rain. Plan on these days!,35,45,15,25
1,10,06%,40°F,18°F,Low risk of rain. Plan on these days!,35,45,13,23
1,11,28%,41°F,19°F,Low risk of rain. Plan on these days!,36,46,14,24
1,12,29%,38°F,19°F,Transition Day,33,43,14,24
1,13,70%,39°F,19°F,Low risk of rain. Plan on these days!,34,44,14,24
1,14,34%,39°F,19°F,Transition Day,34,44,14,24
1,15,24%,40°F,21°F,Low risk of rain. Plan on these days!,35,45,16,26
1,16,41%,40°F,19°F,Low risk of rain. Plan on these days!,35,45,14,24
1,17,35%,40°F,17°F,Low risk of rain. Plan on these days!,35,45,12,22
1,18,42%,36°F,17°F,Low risk of rain. Plan on these days!,31,41,12,22
1,19,48%,38°F,18°F,Transition Day,33,43,13,23
1,20,63%,40°F,20°F,Low risk of rain. Plan on these days!,35,45,15,25
1,21,48%,39°F,18°F,Moderate Risk,34,44,13,23
1,22,48%,36°F,16°F,Moderate Risk,31,41,11,21
1,23,40%,37°F,16°F,Transition Day,32,42,11,21
1,24,34%,36°F,16°F,Low risk of rain. Plan on these days!,31,41,11,21
1,25,35%,38°F,14°F,Low risk of rain. Plan on these days!,33,43,9,19
1,26,35%,37°F,15°F,Low risk of rain. Plan on these days!,32,42,10,20
1,27,40%,38°F,17°F,Low risk of rain. Plan on these days!,33,43,12,22
1,28,47%,41°F,17°F,Low risk of rain. Plan on these days!,36,46,12,22
1,29,40%,44°F,21°F,Low risk of rain. Plan on these days!,39,49,16,26
1,30,08%,41°F,19°F,Low risk of rain. Plan on these days!,36,46,14,24
1,31,25%,43°F,22°F,Low risk of rain. Plan on these days!,38,48,17,27
2,1,16%,41°F,25°F,Low risk of rain. Plan on these days!,36,46,20,30
2,2,27%,39°F,22°F,Low risk of rain. Plan on these days!,34,44,17,27
2,3,38%,42°F,21°F,Low risk of rain. Plan on these days!,37,47,16,26
2,4,24%,42°F,22°F,Low risk of rain. Plan on these days!,37,47,17,27
2,5,28%,41°F,19°F,Low risk of rain. Plan on these days!,36,46,14,24
2,6,27%,40°F,21°F,Transition Day,35,45,16,26
2,7,57%,39°F,22°F,Low risk of rain. Plan on these days!,34,44,17,27
2,8,50%,38°F,21°F,Low risk of rain. Plan on these days!,33,43,16,26
2,9,59%,36°F,17°F,Low risk of rain. Plan on these days!,31,41,12,22
2,10,11%,40°F,18°F,Transition Day,35,45,13,23
2,11,08%,44°F,20°F,Low risk of rain. Plan on these days!,39,49,15,25
2,12,07%,45°F,20°F,Low risk of rain. Plan on these days!,40,50,15,25
2,13,27%,45°F,23°F,Transition Day,40,50,18,28
2,14,42%,46°F,25°F,Moderate Risk,41,51,20,30
2,15,28%,45°F,24°F,Transition Day,40,50,19,29
2,16,42%,43°F,24°F,Moderate Risk,38,48,19,29
2,17,34%,44°F,23°F,Transition Day,39,49,18,28
2,18,29%,41°F,23°F,Transition Day,36,46,18,28
2,19,40%,45°F,24°F,Moderate Risk,40,50,19,29
2,20,50%,45°F,23°F,Low risk of rain. Plan on these days!,40,50,18,28
2,21,32%,46°F,24°F,Transition Day,41,51,19,29
2,22,21%,46°F,22°F,Low risk of rain. Plan on these days!,41,51,17,27
2,23,25%,46°F,23°F,Low risk of rain. Plan on these days!,41,51,18,28
2,24,32%,48°F,25°F,Transition Day,43,53,20,30
2,25,74%,49°F,27°F,Low risk of rain. Plan on these days!,44,54,22,32
2,26,28%,48°F,26°F,Transition Day,43,53,21,31
2,27,40%,45°F,25°F,Moderate Risk,40,50,20,30
2,28,20%,46°F,25°F,Transition Day,41,51,20,30
2,29,23%,50°F,26°F,Low risk of rain. Plan on these days!,45,55,21,31
3,1,30%,49°F,25°F,Low risk of rain. Plan on these days!,44,54,20,30
3,2,12%,52°F,26°F,Low risk of rain. Plan on these days!,47,57,21,31
3,3,32%,50°F,28°F,Low risk of rain. Plan on these days!,45,55,23,33
3,4,20%,50°F,28°F,Low risk of rain. Plan on these days!,45,55,23,33
3,5,12%,50°F,28°F,Transition Day,45,55,23,33
3,6,59%,53°F,26°F,Low risk of rain. Plan on these days!,48,58,21,31
3,7,07%,47°F,26°F,Transition Day,42,52,21,31
3,8,24%,49°F,27°F,Low risk of rain. Plan on these days!,44,54,22,32
3,9,37%,51°F,28°F,Low risk of rain. Plan on these days!,46,56,23,33
3,10,29%,50°F,26°F,Low risk of rain. Plan on these days!,45,55,21,31
